epoch,learning_rate,step,test_crossentropy,test_dice,test_loss,train_crossentropy,train_dice,train_loss,val_crossentropy,val_dice,val_loss
0,,30,,,,,,,6.249873638153076,0.9389853477478027,7.1888604164123535
0,9.999999747378752e-06,30,,,,1.471008539199829,0.8490211367607117,2.3200302124023438,,,
1,,61,,,,,,,1.699547529220581,0.8857822418212891,2.585329294204712
1,9.999999747378752e-06,61,,,,1.276405930519104,0.8181489706039429,2.094555139541626,,,
2,,92,,,,,,,6.477724075317383,0.9006685018539429,7.378393650054932
2,9.999999747378752e-06,92,,,,1.2810673713684082,0.8199425935745239,2.1010098457336426,,,
3,,123,,,,,,,35.40769577026367,0.7344043254852295,36.14208984375
3,9.999999747378752e-06,123,,,,1.2557729482650757,0.822719156742096,2.0784921646118164,,,
4,,154,,,,,,,21.161964416503906,0.7819576263427734,21.943931579589844
4,9.999999747378752e-06,154,,,,1.208679437637329,0.8064935207366943,2.0151729583740234,,,
5,,185,,,,,,,7.815946102142334,0.8210048675537109,8.636950492858887
5,9.999999747378752e-06,185,,,,1.3291765451431274,0.8196842670440674,2.1488606929779053,,,
6,,216,,,,,,,6.843667030334473,0.815025806427002,7.658693790435791
6,9.999999747378752e-06,216,,,,1.2529118061065674,0.8077189922332764,2.0606307983398438,,,
7,,247,,,,,,,14.523992538452148,0.8255363702774048,15.349522590637207
7,9.999999747378752e-06,247,,,,1.1958019733428955,0.786029577255249,1.981831669807434,,,
8,,278,,,,,,,19.321552276611328,0.7819941639900208,20.103538513183594
8,9.999999747378752e-06,278,,,,1.2951411008834839,0.7743178606033325,2.0694589614868164,,,
9,,309,,,,,,,22.613290786743164,0.7688239812850952,23.382116317749023
9,9.999999747378752e-06,309,,,,1.2814404964447021,0.7909330129623413,2.072373628616333,,,
10,,340,,,,,,,1.3689264059066772,0.8168966174125671,2.1858227252960205
10,9.999999974752427e-07,340,,,,1.21613609790802,0.7694792747497559,1.9856154918670654,,,
11,,371,,,,,,,1.106013536453247,0.7716999650001526,1.8777143955230713
11,9.999999974752427e-07,371,,,,1.1438971757888794,0.7707655429840088,1.9146628379821777,,,
12,,402,,,,,,,1.139059066772461,0.7665993571281433,1.9056576490402222
12,9.999999974752427e-07,402,,,,1.1665105819702148,0.7696464657783508,1.936156988143921,,,
13,,433,,,,,,,1.180285930633545,0.7575336694717407,1.937819242477417
13,9.999999974752427e-07,433,,,,1.182677149772644,0.7799100279808044,1.9625871181488037,,,
14,,464,,,,,,,1.0950462818145752,0.7569726705551147,1.852019190788269
14,9.999999974752427e-07,464,,,,1.1231406927108765,0.7577477693557739,1.88088858127594,,,
15,,495,,,,,,,1.205177664756775,0.7631309628486633,1.9683085680007935
15,9.999999974752427e-07,495,,,,1.1802729368209839,0.7767124176025391,1.956985354423523,,,
16,,526,,,,,,,1.0768113136291504,0.7445946335792542,1.8214058876037598
16,1.0000000116860974e-07,526,,,,1.1358287334442139,0.7660724520683289,1.901901125907898,,,
17,,557,,,,,,,1.1082966327667236,0.7447509169578552,1.8530471324920654
17,1.0000000116860974e-07,557,,,,1.168756127357483,0.7710649967193604,1.9398213624954224,,,
18,,588,,,,,,,1.067074179649353,0.7470142245292664,1.8140887022018433
18,1.0000000116860974e-07,588,,,,1.1558712720870972,0.7733457088470459,1.9292168617248535,,,
19,,619,,,,,,,1.0974454879760742,0.7457830905914307,1.8432279825210571
19,1.0000000116860974e-07,619,,,,1.222773551940918,0.7890821695327759,2.0118558406829834,,,
20,,650,,,,,,,1.079089641571045,0.749285876750946,1.8283751010894775
20,1.0000000116860974e-07,650,,,,1.1344033479690552,0.7724530696868896,1.906856656074524,,,
21,,681,,,,,,,1.112867832183838,0.7446926832199097,1.8575607538223267
21,1.0000000116860974e-07,681,,,,1.124682903289795,0.7666575908660889,1.8913406133651733,,,
22,,712,,,,,,,1.0983607769012451,0.7474918961524963,1.8458528518676758
22,9.99999993922529e-09,712,,,,1.0739058256149292,0.7507580518722534,1.8246639966964722,,,
23,,743,,,,,,,1.08292818069458,0.7460691332817078,1.8289974927902222
23,9.99999993922529e-09,743,,,,1.115458369255066,0.7667102813720703,1.8821682929992676,,,
24,,774,,,,,,,1.112596035003662,0.7424967885017395,1.8550928831100464
24,9.99999993922529e-09,774,,,,1.1777974367141724,0.7736710906028748,1.951468586921692,,,
25,,805,,,,,,,1.1412017345428467,0.7513436675071716,1.8925455808639526
25,9.99999993922529e-09,805,,,,1.1566227674484253,0.7918107509613037,1.948433518409729,,,
26,,836,,,,,,,1.0922558307647705,0.7464109063148499,1.838666558265686
26,9.99999993922529e-09,836,,,,1.1571965217590332,0.7624157071113586,1.919612169265747,,,
27,,867,,,,,,,1.1073859930038452,0.7478196024894714,1.8552055358886719
27,9.99999993922529e-09,867,,,,1.1041573286056519,0.7570840120315552,1.8612409830093384,,,
28,,898,,,,,,,1.0837372541427612,0.7512773871421814,1.8350144624710083
28,9.99999993922529e-09,898,,,,1.0804258584976196,0.7612355351448059,1.8416613340377808,,,
29,,929,,,,,,,1.060693621635437,0.7471082806587219,1.807801365852356
29,9.99999993922529e-09,929,,,,1.1673622131347656,0.780785083770752,1.948147177696228,,,
30,,960,,,,,,,1.0605567693710327,0.7509125471115112,1.8114700317382812
30,9.99999993922529e-09,960,,,,1.1839340925216675,0.7733372449874878,1.9572714567184448,,,
31,,991,,,,,,,1.1035141944885254,0.7449711561203003,1.8484846353530884
31,9.99999993922529e-09,991,,,,1.1628692150115967,0.7756732106208801,1.9385424852371216,,,
32,,1022,,,,,,,1.0537735223770142,0.7477628588676453,1.801537275314331
32,9.99999993922529e-09,1022,,,,1.157570481300354,0.7720740437507629,1.9296447038650513,,,
33,,1053,,,,,,,1.0662611722946167,0.7498209476470947,1.8160830736160278
33,9.99999993922529e-09,1053,,,,1.1816084384918213,0.7740424871444702,1.955650806427002,,,
34,,1084,,,,,,,1.0582839250564575,0.7481305599212646,1.8064141273498535
34,9.99999993922529e-09,1084,,,,1.1390188932418823,0.7561488151550293,1.8951677083969116,,,
35,,1115,,,,,,,1.0741175413131714,0.7487692832946777,1.8228873014450073
35,9.99999993922529e-09,1115,,,,1.2177042961120605,0.7903792858123779,2.0080838203430176,,,
36,,1146,,,,,,,1.0850270986557007,0.7494556307792664,1.834483027458191
36,9.99999993922529e-09,1146,,,,1.165222406387329,0.7767749428749084,1.9419972896575928,,,
37,,1177,,,,,,,1.1168227195739746,0.7485353350639343,1.8653584718704224
37,9.99999993922529e-09,1177,,,,1.081045389175415,0.7510659694671631,1.8321113586425781,,,
38,,1208,,,,,,,1.0856605768203735,0.7452706694602966,1.8309305906295776
38,9.99999993922529e-09,1208,,,,1.1374932527542114,0.7544797658920288,1.8919731378555298,,,
39,,1239,,,,,,,1.0845545530319214,0.7458882927894592,1.8304425477981567
39,9.99999993922529e-09,1239,,,,1.1327314376831055,0.7623403668403625,1.8950717449188232,,,
40,,1270,,,,,,,1.1237815618515015,0.7442799210548401,1.8680614233016968
40,9.99999993922529e-09,1270,,,,1.1290843486785889,0.7608356475830078,1.8899199962615967,,,
41,,1301,,,,,,,1.0665748119354248,0.744631290435791,1.8112061023712158
41,9.99999993922529e-09,1301,,,,1.1783936023712158,0.7764095067977905,1.954803228378296,,,
42,,1332,,,,,,,1.0903931856155396,0.7502724528312683,1.840665340423584
42,9.99999993922529e-09,1332,,,,1.1324026584625244,0.7761984467506409,1.9086010456085205,,,
43,,1363,,,,,,,1.0984352827072144,0.7444738149642944,1.8429089784622192
43,9.99999993922529e-09,1363,,,,1.1523329019546509,0.7741855382919312,1.9265186786651611,,,
44,,1394,,,,,,,1.0798122882843018,0.7483875155448914,1.8281997442245483
44,9.99999993922529e-09,1394,,,,1.2111773490905762,0.7776484489440918,1.988826036453247,,,
45,,1425,,,,,,,1.0876766443252563,0.747405469417572,1.8350818157196045
45,9.99999993922529e-09,1425,,,,1.175439715385437,0.7880405187606812,1.9634804725646973,,,
46,,1456,,,,,,,1.0947948694229126,0.7443311214447021,1.8391258716583252
46,9.99999993922529e-09,1456,,,,1.1385810375213623,0.7753692865371704,1.9139503240585327,,,
47,,1487,,,,,,,1.0612350702285767,0.7492320537567139,1.8104661703109741
47,9.99999993922529e-09,1487,,,,1.108580470085144,0.7585210204124451,1.867101788520813,,,
48,,1518,,,,,,,1.0623154640197754,0.7483787536621094,1.810694932937622
48,9.99999993922529e-09,1518,,,,1.1684801578521729,0.7652099132537842,1.9336899518966675,,,
49,,1549,,,,,,,1.0755420923233032,0.7470634579658508,1.8226054906845093
49,9.99999993922529e-09,1549,,,,1.099025011062622,0.7587851285934448,1.8578100204467773,,,
50,,1550,1.0655149221420288,0.7543647885322571,1.8198798894882202,,,,,,
